FL_DATE,ORIGIN,DEST,OP_CARRIER,CRS_DEP_TIME,CRS_ARR_TIME,DEP_DELAY,ARR_DELAY,DISTANCE
2025-05-25,LAX,ORD,UA,1897,1936,5,0,1966
2025-05-27,DFW,LAX,SW,733,850,-10,-5,1455
2025-05-11,DFW,LAX,AA,79,344,20,20,387
2025-05-13,DFW,JFK,SW,2181,2301,5,5,2310
2025-05-22,ORD,JFK,DL,242,348,0,10,1562
2025-05-10,LAX,DFW,AA,1542,1797,-5,0,775
2025-05-24,ORD,JFK,UA,1838,1964,10,5,1865
2025-05-03,ORD,JFK,DL,253,532,15,10,1428
2025-05-19,JFK,DFW,UA,1433,1608,0,5,1763
2025-05-10,JFK,ORD,UA,1156,1388,15,20,2211
2025-05-04,ORD,LAX,SW,2208,56,0,0,1084
2025-05-30,ATL,DFW,DL,379,577,10,20,1236
2025-05-21,JFK,DFW,DL,793,1062,0,-5,2094
2025-05-11,JFK,ATL,AA,1756,1852,-5,5,1486
2025-05-17,DFW,ORD,JB,836,967,15,20,1525
2025-05-13,DFW,ORD,DL,1309,1589,15,25,1521
2025-05-29,ATL,LAX,DL,1838,1905,5,0,1636
2025-05-01,JFK,LAX,DL,2261,155,20,30,1717
2025-05-14,DFW,LAX,JB,607,839,10,10,1035
2025-05-02,ORD,JFK,DL,236,527,10,10,367
2025-05-15,ORD,LAX,SW,1013,1306,0,5,562
2025-05-27,JFK,DFW,SW,966,1203,5,15,2458
2025-05-19,DFW,ATL,AA,987,1081,-5,-10,581
2025-05-07,ORD,JFK,JB,287,485,10,15,765
2025-05-22,ORD,JFK,UA,1435,1670,-5,-10,216
2025-05-06,JFK,LAX,SW,912,1100,15,25,945
2025-05-03,DFW,ORD,SW,1505,1733,15,25,456
2025-05-30,LAX,ATL,UA,1980,2026,10,15,1237
2025-05-27,LAX,ATL,AA,2309,169,10,5,2335
2025-05-26,ORD,ATL,JB,55,145,0,0,1213
2025-05-03,DFW,LAX,JB,2150,2343,20,15,1641
2025-05-20,JFK,LAX,JB,226,473,10,5,1422
2025-05-22,DFW,ORD,SW,2137,2275,-10,-5,839
2025-05-25,DFW,ATL,SW,1477,1729,10,15,1152
2025-05-24,ATL,JFK,UA,879,922,0,-5,1051
2025-05-20,ORD,LAX,UA,1614,1813,30,35,420
2025-05-05,ATL,LAX,UA,1709,2008,20,25,1501
2025-05-12,LAX,JFK,JB,1446,1546,0,0,945
2025-05-23,DFW,ORD,SW,841,874,20,20,753
2025-05-25,ATL,DFW,DL,414,681,-10,-15,1396
2025-05-20,DFW,ORD,SW,1373,1426,-5,0,442
2025-05-30,DFW,ATL,DL,599,830,-5,-5,792
2025-05-02,DFW,ORD,JB,1636,1744,30,25,747
2025-05-20,ATL,DFW,UA,2095,2323,30,25,1411
2025-05-26,JFK,ATL,AA,1495,1641,0,-5,2090
2025-05-13,DFW,JFK,AA,365,491,-10,-15,818
2025-05-20,ATL,LAX,SW,942,1040,15,10,514
2025-05-29,ORD,JFK,SW,2029,2220,5,5,317
2025-05-17,LAX,JFK,AA,76,139,20,30,999
2025-05-21,JFK,ORD,DL,455,718,30,25,1995
2025-05-17,LAX,ORD,JB,1366,1591,15,10,1607
2025-05-11,LAX,ATL,UA,826,1084,-10,0,2312
2025-05-14,DFW,LAX,UA,416,678,5,10,1156
2025-05-12,DFW,LAX,JB,992,1023,-5,5,861
2025-05-20,ORD,LAX,SW,1682,1957,0,10,999
2025-05-13,JFK,ATL,SW,943,1193,0,-5,1648
2025-05-23,ATL,ORD,DL,2124,2377,10,20,1412
2025-05-11,JFK,LAX,DL,2184,2242,20,15,2228
2025-05-17,JFK,ORD,SW,2238,108,15,15,1823
2025-05-17,LAX,ATL,SW,377,462,20,25,1747
2025-05-22,JFK,ATL,JB,1792,2014,20,25,2117
2025-05-15,ATL,JFK,SW,655,927,15,10,2132
2025-05-29,LAX,DFW,DL,1522,1806,0,0,1278
2025-05-12,DFW,ORD,UA,1942,2040,20,30,1021
2025-05-10,LAX,JFK,SW,92,155,-5,5,1048
2025-05-21,DFW,JFK,SW,2064,2348,5,0,2392
2025-05-10,LAX,DFW,JB,1176,1372,-10,-10,428
2025-05-14,LAX,ATL,AA,1616,1797,-10,0,1598
2025-05-18,ATL,ORD,UA,1088,1320,20,15,2205
2025-05-13,LAX,ORD,DL,591,879,30,40,482
2025-05-10,ATL,ORD,AA,957,1019,10,10,1675
2025-05-13,LAX,ORD,UA,497,592,20,15,1108
2025-05-25,ATL,DFW,JB,1130,1395,20,25,677
2025-05-29,ATL,LAX,JB,1420,1693,-5,-5,859
2025-05-26,JFK,LAX,AA,1155,1371,10,15,1387
2025-05-20,ATL,DFW,DL,1280,1379,0,0,534
2025-05-23,ORD,JFK,AA,610,741,-5,-10,383
2025-05-11,ORD,LAX,UA,2058,2150,30,25,636
2025-05-05,LAX,ORD,SW,279,545,0,5,2142
2025-05-12,ORD,ATL,JB,1057,1147,5,0,2387
2025-05-05,ATL,JFK,AA,2017,2268,15,25,989
2025-05-13,ORD,JFK,DL,2320,145,10,15,936
2025-05-25,ORD,JFK,AA,837,966,30,25,2153
2025-05-11,DFW,ORD,UA,668,755,-5,0,559
2025-05-17,ATL,ORD,UA,1557,1857,20,25,2349
2025-05-20,LAX,ATL,DL,63,242,-10,-5,919
2025-05-19,JFK,ATL,JB,450,593,-10,-15,508
2025-05-20,LAX,DFW,DL,328,506,20,20,876
2025-05-18,DFW,LAX,AA,1237,1520,10,15,2386
2025-05-28,ATL,DFW,SW,919,1133,15,25,473
2025-05-03,LAX,ATL,AA,1188,1241,0,10,1423
2025-05-07,DFW,ORD,JB,1865,1933,-10,-15,531
2025-05-27,ORD,LAX,SW,1032,1192,30,25,2295
2025-05-18,JFK,ORD,DL,1579,1760,5,10,1341
2025-05-24,DFW,ATL,JB,599,782,-5,5,433
2025-05-01,ATL,JFK,SW,270,306,10,5,546
2025-05-24,DFW,LAX,AA,1142,1408,-10,-10,2447
2025-05-15,ATL,LAX,SW,398,518,-10,-10,1236
2025-05-11,DFW,JFK,AA,2100,2383,15,25,1661
2025-05-25,JFK,DFW,AA,2058,2342,30,35,2273
2025-05-08,DFW,ORD,DL,2002,2078,-5,-10,1625
2025-05-13,DFW,ATL,JB,1690,1907,15,15,1244
2025-05-10,LAX,ORD,JB,951,1193,15,20,1873
2025-05-04,ORD,DFW,JB,272,428,5,0,1750
2025-05-02,JFK,DFW,AA,342,452,15,25,1919
2025-05-21,ATL,LAX,DL,1297,1370,-5,0,1295
2025-05-12,LAX,DFW,SW,323,600,5,10,574
2025-05-24,DFW,ATL,UA,1537,1764,15,15,2126
2025-05-02,ORD,ATL,DL,1637,1855,5,0,1496
2025-05-06,LAX,JFK,DL,2250,2296,15,15,868
2025-05-24,JFK,ATL,AA,1722,1771,5,5,1973
2025-05-19,ORD,DFW,UA,2084,2123,5,10,207
2025-05-06,LAX,ATL,UA,1848,2088,15,25,354
2025-05-28,ORD,LAX,DL,771,936,15,20,256
2025-05-30,DFW,LAX,DL,758,1055,15,15,962
2025-05-24,LAX,DFW,AA,133,225,-5,5,1353
2025-05-23,ATL,JFK,JB,702,755,15,25,2049
2025-05-24,DFW,ORD,DL,1639,1747,15,15,902
2025-05-10,JFK,LAX,AA,1343,1490,10,15,2193
2025-05-16,ORD,DFW,UA,46,117,-5,-5,758
2025-05-12,ORD,JFK,JB,1247,1547,10,10,461
2025-05-29,DFW,ATL,AA,1506,1567,-10,-10,653
2025-05-16,DFW,ATL,AA,533,773,15,25,405
2025-05-06,LAX,JFK,SW,806,918,30,30,745
2025-05-14,ATL,DFW,DL,1160,1366,15,25,2283
2025-05-21,ORD,JFK,DL,529,697,5,10,452
2025-05-20,DFW,LAX,SW,2114,2307,15,25,941
2025-05-12,LAX,JFK,AA,945,1205,-10,-15,334
2025-05-07,ORD,LAX,SW,443,489,15,20,851
2025-05-02,ORD,LAX,JB,2286,25,0,10,288
2025-05-04,LAX,ORD,UA,958,1237,0,-5,2493
2025-05-16,ORD,DFW,DL,2085,2163,15,20,870
2025-05-08,ORD,ATL,DL,2216,112,-10,-5,1902
2025-05-07,LAX,JFK,DL,185,379,-5,0,1356
2025-05-05,ORD,LAX,UA,704,776,10,15,1473
2025-05-13,ATL,ORD,SW,2082,2347,0,10,2248
2025-05-24,DFW,LAX,SW,767,1022,-10,-5,505
2025-05-03,JFK,DFW,JB,905,1063,10,15,2089
2025-05-19,LAX,ATL,DL,655,908,20,15,2115
2025-05-28,LAX,DFW,SW,1530,1622,-10,-15,1089
2025-05-23,ORD,ATL,JB,2043,2105,0,5,2313
2025-05-06,JFK,LAX,AA,1531,1831,-5,-5,996
2025-05-27,LAX,ORD,UA,1713,1979,-10,-15,1281
2025-05-18,JFK,ORD,JB,203,288,0,-5,639
2025-05-13,ATL,LAX,DL,1113,1322,-10,-15,1679
2025-05-02,DFW,LAX,JB,838,998,-10,0,2240
2025-05-22,ORD,JFK,DL,1136,1327,10,15,2145
2025-05-02,ATL,LAX,DL,1072,1224,30,30,1874
2025-05-21,JFK,ORD,DL,1423,1499,15,10,2188
2025-05-07,ORD,ATL,AA,229,327,10,5,698
2025-05-12,ATL,ORD,JB,2117,2213,20,30,416
2025-05-29,JFK,DFW,AA,1649,1679,-10,0,915
2025-05-17,ATL,ORD,DL,810,1008,10,5,1271
2025-05-21,LAX,ORD,DL,1331,1389,30,25,847
2025-05-30,DFW,ATL,AA,2052,2261,-10,-15,518
2025-05-09,ATL,ORD,JB,1266,1512,15,10,225
2025-05-17,ORD,ATL,UA,218,369,10,15,2361
2025-05-19,LAX,DFW,AA,990,1203,20,20,980
2025-05-05,ORD,DFW,JB,815,966,10,10,2141
2025-05-23,LAX,ATL,UA,435,485,20,15,1905
2025-05-28,ATL,JFK,DL,527,817,15,20,1530
2025-05-07,JFK,ATL,JB,2156,2236,30,40,2297
2025-05-17,LAX,ATL,JB,537,681,0,10,728
2025-05-04,JFK,DFW,SW,856,1084,20,20,552
2025-05-20,ATL,DFW,SW,1472,1508,-5,0,1759
2025-05-03,DFW,ATL,SW,1924,2011,15,25,1491
2025-05-23,ORD,DFW,DL,2178,2279,30,30,785
2025-05-17,ATL,LAX,UA,1827,2109,15,10,840
2025-05-14,DFW,JFK,JB,1205,1280,5,0,1632
2025-05-15,ORD,ATL,UA,101,314,10,5,1867
2025-05-25,ORD,JFK,UA,1032,1293,10,10,2269
2025-05-20,JFK,DFW,SW,2147,2303,-10,0,777
2025-05-12,LAX,JFK,JB,555,774,0,-5,2265
2025-05-19,LAX,ORD,DL,268,504,-10,0,323
2025-05-13,ATL,LAX,DL,742,953,10,5,1914
2025-05-07,ORD,JFK,JB,1373,1617,10,10,1854
2025-05-08,DFW,LAX,SW,1201,1318,30,35,1614
2025-05-13,ATL,JFK,SW,928,975,20,20,949
2025-05-18,JFK,ATL,UA,2105,2159,5,0,2293
2025-05-09,ORD,JFK,UA,491,697,0,5,911
2025-05-11,ATL,JFK,UA,2197,2252,30,40,1978
2025-05-11,JFK,ATL,DL,1309,1540,30,40,617
2025-05-23,ORD,DFW,SW,525,751,10,5,1341
2025-05-20,DFW,LAX,UA,699,758,5,10,831
2025-05-01,JFK,DFW,AA,1678,1828,30,35,1613
2025-05-20,LAX,ATL,UA,967,1192,20,20,1464
2025-05-03,LAX,ORD,AA,220,519,0,0,1596
2025-05-02,LAX,JFK,JB,1527,1574,5,10,674
2025-05-26,DFW,LAX,AA,2026,2113,-5,5,2339
2025-05-11,DFW,JFK,UA,797,948,20,20,1630
2025-05-28,JFK,DFW,SW,1162,1324,10,5,1950
2025-05-20,ATL,DFW,AA,94,389,15,10,1219
2025-05-02,JFK,DFW,AA,857,1146,5,10,1952
2025-05-24,JFK,ORD,SW,295,569,-5,5,1914
2025-05-10,ORD,ATL,SW,712,752,30,40,2385
2025-05-09,ATL,LAX,UA,781,1040,10,10,999
2025-05-09,ORD,DFW,AA,77,167,-10,0,1822
2025-05-23,JFK,ORD,AA,1980,2136,5,15,1606
2025-05-11,DFW,ATL,UA,179,472,10,5,1828
2025-05-18,LAX,JFK,DL,803,1032,0,0,635
2025-05-28,DFW,ORD,DL,1870,2115,20,30,1960
2025-05-24,ORD,JFK,DL,2046,2214,20,20,396
2025-05-11,LAX,JFK,UA,686,976,15,15,1488
2025-05-26,LAX,ATL,AA,1402,1527,-10,-10,1414
2025-05-17,DFW,JFK,JB,799,847,10,5,2070
2025-05-30,DFW,ORD,JB,625,722,-10,0,1816
2025-05-17,JFK,LAX,JB,2301,87,10,5,1972
2025-05-21,ORD,JFK,SW,2303,2356,-10,0,1625
2025-05-09,JFK,ORD,AA,2197,2281,-10,0,1233
2025-05-14,ATL,ORD,JB,1101,1325,-5,-10,409
2025-05-07,ATL,DFW,JB,1454,1612,-10,-5,1901
2025-05-05,ATL,ORD,SW,2132,2229,-5,0,2027
2025-05-23,LAX,ATL,SW,1047,1128,20,15,1813
2025-05-24,DFW,LAX,SW,1169,1382,30,35,2335
2025-05-10,JFK,ORD,AA,1843,2052,30,40,921
2025-05-24,JFK,DFW,AA,1568,1688,5,0,1846
2025-05-07,JFK,ORD,JB,1868,1928,-10,0,567
2025-05-10,JFK,LAX,DL,961,1176,0,-5,1237
2025-05-07,ORD,JFK,AA,212,352,30,35,996
2025-05-05,DFW,ORD,SW,2253,30,5,15,2194
2025-05-16,ATL,JFK,JB,1184,1472,5,15,903
2025-05-22,JFK,ORD,SW,2066,2139,5,0,1595
2025-05-08,LAX,JFK,JB,937,1017,-5,-10,2337
2025-05-18,DFW,LAX,AA,622,676,0,5,1002
2025-05-02,LAX,JFK,AA,935,1035,-5,-10,289
2025-05-15,JFK,ORD,JB,113,268,10,15,1429
2025-05-27,DFW,JFK,SW,604,680,20,30,1905
2025-05-15,JFK,LAX,JB,2122,17,10,10,967
2025-05-20,JFK,DFW,DL,858,939,5,0,602
2025-05-23,DFW,JFK,JB,1380,1564,-10,-10,2449
2025-05-12,LAX,DFW,AA,597,851,5,5,425
2025-05-22,ORD,LAX,SW,2156,4,15,20,1681
2025-05-20,ORD,DFW,AA,905,987,-10,-10,1065
2025-05-19,ORD,LAX,UA,402,629,-10,-5,1237
2025-05-24,ATL,LAX,UA,1125,1264,0,-5,473
2025-05-12,ORD,ATL,DL,271,546,10,15,1110
2025-05-26,ORD,LAX,JB,210,498,-10,-10,1364
2025-05-05,JFK,LAX,JB,993,1108,5,15,608
2025-05-16,LAX,DFW,SW,2182,2236,15,20,313
2025-05-26,LAX,JFK,DL,1157,1440,-5,0,1293
2025-05-19,JFK,ATL,SW,1977,2126,5,10,1694
2025-05-09,ORD,DFW,AA,1238,1403,30,35,1674
2025-05-01,ATL,LAX,AA,1786,1918,30,40,583
2025-05-01,DFW,ATL,AA,2120,2158,15,20,1834
2025-05-21,LAX,ATL,SW,435,468,15,15,831
2025-05-24,ATL,DFW,UA,792,973,30,35,1624
2025-05-05,ORD,DFW,DL,1681,1739,10,10,1872
2025-05-13,LAX,DFW,UA,2293,2385,20,30,2127
2025-05-01,JFK,ORD,JB,87,150,-5,5,849
2025-05-17,ATL,DFW,SW,1592,1665,0,10,2284
2025-05-27,ATL,JFK,UA,340,615,5,0,1847
2025-05-17,JFK,DFW,JB,69,103,10,10,1861
2025-05-11,JFK,ORD,UA,719,776,5,10,628
2025-05-19,DFW,ATL,JB,2075,2249,30,40,456
2025-05-13,ATL,JFK,SW,746,923,-10,-5,1750
2025-05-22,ORD,DFW,DL,720,926,-10,0,687
2025-05-03,JFK,LAX,UA,414,465,20,30,2219
2025-05-25,DFW,ATL,UA,268,567,-5,5,371
2025-05-19,ATL,ORD,SW,373,434,30,35,1483
2025-05-28,DFW,ATL,UA,1166,1417,20,25,361
2025-05-14,ATL,JFK,UA,236,393,30,25,605
2025-05-25,LAX,ATL,JB,132,412,30,40,2111
2025-05-20,JFK,ORD,DL,75,342,5,15,1345
2025-05-03,ATL,LAX,JB,915,1137,10,10,932
2025-05-05,JFK,ORD,AA,2135,2309,0,5,2455
2025-05-21,DFW,ATL,SW,1523,1589,20,25,2071
2025-05-24,ORD,JFK,AA,1408,1546,-10,-5,682
2025-05-28,ATL,JFK,JB,770,1063,30,25,1153
2025-05-25,DFW,JFK,SW,381,659,20,15,1334
2025-05-07,DFW,ORD,UA,134,272,20,15,839
2025-05-03,JFK,ORD,AA,1724,1837,30,40,709
2025-05-03,JFK,ATL,DL,113,220,0,0,344
2025-05-08,DFW,ATL,SW,62,234,0,-5,2347
2025-05-30,LAX,ATL,DL,2182,2229,5,5,936
2025-05-12,JFK,DFW,UA,2256,2373,30,40,1952
2025-05-24,JFK,ORD,UA,420,535,-5,-5,656
2025-05-01,DFW,JFK,DL,1179,1293,20,15,1670
2025-05-08,ATL,DFW,JB,1217,1353,20,15,479
2025-05-21,JFK,DFW,JB,354,444,-5,-10,354
2025-05-20,JFK,LAX,JB,2040,2218,-10,-15,1942
2025-05-01,JFK,ORD,UA,826,959,20,15,469
2025-05-14,JFK,LAX,JB,80,313,-5,0,1914
2025-05-23,JFK,DFW,JB,314,609,-5,0,2380
2025-05-10,ORD,LAX,UA,519,559,10,20,940
2025-05-16,DFW,ORD,AA,2076,2171,20,20,639
2025-05-13,DFW,ATL,DL,1886,2084,30,35,1957
2025-05-04,ORD,DFW,DL,257,473,-10,0,2303
2025-05-19,DFW,LAX,UA,769,912,15,15,1981
2025-05-30,DFW,ATL,AA,100,371,-10,-5,831
2025-05-07,JFK,ATL,JB,1627,1828,-5,0,1735
2025-05-14,LAX,JFK,SW,2100,2354,30,25,891
2025-05-16,LAX,DFW,UA,1753,1829,15,25,2407
2025-05-11,DFW,LAX,DL,1080,1197,0,0,1314
2025-05-04,ATL,JFK,DL,792,1069,-10,-15,1937
2025-05-14,JFK,LAX,DL,59,148,15,20,398
2025-05-24,DFW,JFK,AA,202,389,10,10,747
2025-05-21,LAX,ATL,SW,1017,1239,15,25,797
2025-05-25,LAX,DFW,AA,1098,1232,20,25,1228
2025-05-25,ATL,LAX,JB,148,337,20,30,238
2025-05-23,ORD,LAX,DL,586,770,20,30,1573
2025-05-16,DFW,ORD,DL,709,829,10,5,1221
2025-05-30,JFK,DFW,DL,893,1154,30,25,378
2025-05-30,ORD,LAX,SW,153,412,5,10,2061
2025-05-14,DFW,LAX,SW,1288,1394,0,5,2492
2025-05-12,DFW,ATL,DL,200,296,30,35,1879
2025-05-21,JFK,ORD,SW,1117,1415,20,20,1809
2025-05-10,LAX,ORD,SW,1696,1905,-10,-15,539
2025-05-21,ORD,ATL,JB,1929,1995,0,0,1581
